dma_code,dma_name,week_start,week_end,search_interest,scaled_search_interest,is_partial
800,Bakersfield,2025-03-02T00:00:00Z,2025-03-09T00:00:00Z,0,0,False
800,Bakersfield,2025-03-09T00:00:00Z,2025-03-16T00:00:00Z,0,0,False
800,Bakersfield,2025-03-16T00:00:00Z,2025-03-23T00:00:00Z,0,0,False
800,Bakersfield,2025-03-23T00:00:00Z,2025-03-30T00:00:00Z,0,0,False
800,Bakersfield,2025-03-30T00:00:00Z,2025-04-06T00:00:00Z,0,0,False
800,Bakersfield,2025-04-06T00:00:00Z,2025-04-13T00:00:00Z,0,0,False
800,Bakersfield,2025-04-13T00:00:00Z,2025-04-20T00:00:00Z,0,0,False
800,Bakersfield,2025-04-20T00:00:00Z,2025-04-27T00:00:00Z,0,0,False
800,Bakersfield,2025-04-27T00:00:00Z,2025-05-04T00:00:00Z,0,0,False
800,Bakersfield,2025-05-04T00:00:00Z,2025-05-11T00:00:00Z,0,0,False
800,Bakersfield,2025-05-11T00:00:00Z,2025-05-18T00:00:00Z,29000,53,False
800,Bakersfield,2025-05-18T00:00:00Z,2025-05-25T00:00:00Z,0,0,False
800,Bakersfield,2025-05-25T00:00:00Z,2025-06-01T00:00:00Z,0,0,False
800,Bakersfield,2025-06-01T00:00:00Z,2025-06-08T00:00:00Z,0,0,False
800,Bakersfield,2025-06-08T00:00:00Z,2025-06-15T00:00:00Z,0,0,False
800,Bakersfield,2025-06-15T00:00:00Z,2025-06-22T00:00:00Z,0,0,False
800,Bakersfield,2025-06-22T00:00:00Z,2025-06-29T00:00:00Z,0,0,False
800,Bakersfield,2025-06-29T00:00:00Z,2025-07-06T00:00:00Z,0,0,False
800,Bakersfield,2025-07-06T00:00:00Z,2025-07-13T00:00:00Z,0,0,False
800,Bakersfield,2025-07-13T00:00:00Z,2025-07-20T00:00:00Z,0,0,False
800,Bakersfield,2025-07-20T00:00:00Z,2025-07-27T00:00:00Z,22000,40,False
800,Bakersfield,2025-07-27T00:00:00Z,2025-08-03T00:00:00Z,0,0,False
800,Bakersfield,2025-08-03T00:00:00Z,2025-08-10T00:00:00Z,0,0,False
800,Bakersfield,2025-08-10T00:00:00Z,2025-08-17T00:00:00Z,0,0,False
800,Bakersfield,2025-08-17T00:00:00Z,2025-08-24T00:00:00Z,0,0,False
800,Bakersfield,2025-08-24T00:00:00Z,2025-08-31T00:00:00Z,0,0,False
800,Bakersfield,2025-08-31T00:00:00Z,2025-09-07T00:00:00Z,0,0,False
800,Bakersfield,2025-09-07T00:00:00Z,2025-09-14T00:00:00Z,0,0,False
800,Bakersfield,2025-09-14T00:00:00Z,2025-09-21T00:00:00Z,0,0,False
800,Bakersfield,2025-09-21T00:00:00Z,2025-09-28T00:00:00Z,0,0,False
800,Bakersfield,2025-09-28T00:00:00Z,2025-10-05T00:00:00Z,0,0,False
800,Bakersfield,2025-10-05T00:00:00Z,2025-10-12T00:00:00Z,0,0,False
800,Bakersfield,2025-10-12T00:00:00Z,2025-10-19T00:00:00Z,0,0,False
800,Bakersfield,2025-10-19T00:00:00Z,2025-10-26T00:00:00Z,25000,45,False
800,Bakersfield,2025-10-26T00:00:00Z,2025-11-02T00:00:00Z,32000,59,False
800,Bakersfield,2025-11-02T00:00:00Z,2025-11-09T00:00:00Z,55000,100,False
800,Bakersfield,2025-11-09T00:00:00Z,2025-11-16T00:00:00Z,0,0,False
800,Bakersfield,2025-11-16T00:00:00Z,2025-11-23T00:00:00Z,0,0,False
800,Bakersfield,2025-11-23T00:00:00Z,2025-11-30T00:00:00Z,0,0,False
800,Bakersfield,2025-11-30T00:00:00Z,2025-12-07T00:00:00Z,0,0,False
800,Bakersfield,2025-12-07T00:00:00Z,2025-12-14T00:00:00Z,0,0,False
800,Bakersfield,2025-12-14T00:00:00Z,2025-12-21T00:00:00Z,0,0,False
800,Bakersfield,2025-12-21T00:00:00Z,2025-12-28T00:00:00Z,27000,50,False
800,Bakersfield,2025-12-28T00:00:00Z,2026-01-04T00:00:00Z,0,0,False
800,Bakersfield,2026-01-04T00:00:00Z,2026-01-11T00:00:00Z,0,0,False
800,Bakersfield,2026-01-11T00:00:00Z,2026-01-18T00:00:00Z,0,0,False
800,Bakersfield,2026-01-18T00:00:00Z,2026-01-25T00:00:00Z,0,0,False
800,Bakersfield,2026-01-25T00:00:00Z,2026-02-01T00:00:00Z,0,0,False
800,Bakersfield,2026-02-01T00:00:00Z,2026-02-08T00:00:00Z,0,0,False
800,Bakersfield,2026-02-08T00:00:00Z,2026-02-15T00:00:00Z,0,0,False
800,Bakersfield,2026-02-15T00:00:00Z,2026-02-22T00:00:00Z,0,0,False
800,Bakersfield,2026-02-22T00:00:00Z,2026-03-01T00:00:00Z,0,0,False
800,Bakersfield,2026-03-01T00:00:00Z,2026-03-08T00:00:00Z,0,0,False
800,Bakersfield,2026-03-08T00:00:00Z,2026-03-15T00:00:00Z,0,0,False
800,Bakersfield,2026-03-15T00:00:00Z,2026-03-22T00:00:00Z,0,0,False
800,Bakersfield,2026-03-22T00:00:00Z,2026-03-29T00:00:00Z,0,0,False
800,Bakersfield,2026-03-29T00:00:00Z,2026-04-05T00:00:00Z,0,0,False
800,Bakersfield,2026-04-05T00:00:00Z,2026-04-12T00:00:00Z,0,0,False
800,Bakersfield,2026-04-12T00:00:00Z,2026-04-19T00:00:00Z,0,0,False
800,Bakersfield,2026-04-19T00:00:00Z,2026-04-26T00:00:00Z,20000,36,False
800,Bakersfield,2026-04-26T00:00:00Z,2026-05-03T00:00:00Z,0,0,False
800,Bakersfield,2026-05-03T00:00:00Z,2026-05-10T00:00:00Z,0,0,False
800,Bakersfield,2026-05-10T00:00:00Z,2026-05-17T00:00:00Z,0,0,False
800,Bakersfield,2026-05-17T00:00:00Z,2026-05-24T00:00:00Z,0,0,False
800,Bakersfield,2026-05-24T00:00:00Z,2026-05-31T00:00:00Z,0,0,False
800,Bakersfield,2026-05-31T00:00:00Z,2026-06-07T00:00:00Z,28000,52,False
800,Bakersfield,2026-06-07T00:00:00Z,2026-06-14T00:00:00Z,8000,15,False
800,Bakersfield,2026-06-14T00:00:00Z,2026-06-21T00:00:00Z,11000,20,True
803,Los Angeles,2023-12-31T00:00:00Z,2024-01-07T00:00:00Z,6700,17,False
803,Los Angeles,2024-01-07T00:00:00Z,2024-01-14T00:00:00Z,8500,22,False
803,Los Angeles,2024-01-14T00:00:00Z,2024-01-21T00:00:00Z,7700,20,False
803,Los Angeles,2024-01-21T00:00:00Z,2024-01-28T00:00:00Z,7400,19,False
803,Los Angeles,2024-01-28T00:00:00Z,2024-02-04T00:00:00Z,7800,20,False
803,Los Angeles,2024-02-04T00:00:00Z,2024-02-11T00:00:00Z,7100,18,False
803,Los Angeles,2024-02-11T00:00:00Z,2024-02-18T00:00:00Z,7800,20,False
803,Los Angeles,2024-02-18T00:00:00Z,2024-02-25T00:00:00Z,8300,21,False
803,Los Angeles,2024-02-25T00:00:00Z,2024-03-03T00:00:00Z,7700,20,False
803,Los Angeles,2024-03-03T00:00:00Z,2024-03-10T00:00:00Z,7800,20,False
803,Los Angeles,2024-03-10T00:00:00Z,2024-03-17T00:00:00Z,6800,18,False
803,Los Angeles,2024-03-17T00:00:00Z,2024-03-24T00:00:00Z,6100,16,False
803,Los Angeles,2024-03-24T00:00:00Z,2024-03-31T00:00:00Z,7500,19,False
